Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
HDFC,EQ,10-Dec-18,1951.35,1924.35,1939.9,1901.25,1905,1906.5,1917.18
HDFC,EQ,11-Dec-18,1906.5,1878,1912.65,1855.25,1904,1905.25,1885.14
HDFC,,12-Dec-18,1905.25,1912,1946.8,1904.25,1937,1940.2,1923.88
HDFC,,13-Dec-18,1940.2,1945,1961.9,1927.9,1941.45,1942.05,1943.93
HDFC,,14-Dec-18,1942.05,1945,1955,1898.05,1909.6,,1913.13
HDFC,,17-Dec-18,1904.1,1915,1963.4,1913.7,1963,,1942.9
HDFC,,18-Dec-18,1960.35,1955,1957.9,1932.5,1949.05,,1943.92
HDFC,EQ,19-Dec-18,1952,1954,1985.5,1948.55,1979.8,,1973.76
HDFC,EQ,20-Dec-18,1981.7,1970,1982,1943.05,1977,,1960.03
HDFC,EQ,21-Dec-18,1974.7,1974.8,1979.6,1930,1943.45,,1951.03
HDFC,EQ,24-Dec-18,1948.6,1955,1955,1898,1906.75,,1925.72
HDFC,EQ,26-Dec-18,1902.15,1896,1944.7,1883.2,1938,1933.35,1910.4
HDFC,EQ,27-Dec-18,1933.35,1948.45,1955,1930,1946.3,1948.85,1943.86
HDFC,EQ,28-Dec-18,1948.85,1959,1990,1952,1978.15,1979.95,1981.67
HDFC,EQ,31-Dec-18,1979.95,1988,1989.75,1961.55,1965,1968.35,1971.07
HDFC,EQ,1-Jan-19,1968.35,1968,2014.7,1954.5,2010,2009,1990.57
HDFC,EQ,2-Jan-19,2009,2004.7,2009,1961,1983,1980.65,1984.08
HDFC,EQ,3-Jan-19,1980.65,1984.05,1987.1,1931.85,1937,1936.85,1950.27
HDFC,EQ,4-Jan-19,1936.85,1948,1976,1942,1973,1972.6,1957.64
HDFC,EQ,7-Jan-19,1972.6,1976.95,1987.5,1963.95,1974,1972.9,1975.79
HDFC,EQ,8-Jan-19,1972.9,1983,1983,1948,1955.85,1958.95,1959.5
HDFC,EQ,9-Jan-19,1958.95,1962,1998,1962,1991.3,1994.95,1980.98
HDFC,EQ,10-Jan-19,1994.95,1993,1993,1971.3,1976,1980.1,1980.17
HDFC,EQ,11-Jan-19,1980.1,1978,2007.7,1972.4,1990.25,1991.4,1989.68
HDFC,EQ,14-Jan-19,1991.4,1983,1983.15,1949.6,1969.25,1969.2,1962.84
HDFC,EQ,15-Jan-19,1969.2,1975.2,1996,1964,1988.4,1992.15,1982.27
HDFC,EQ,16-Jan-19,1992.15,1989,1994.75,1965.5,1976.9,1975,1976.96
HDFC,EQ,17-Jan-19,1975,1982.75,2007,1979.05,2000.2,2004.55,1994.18
HDFC,EQ,18-Jan-19,2004.55,2004,2012.6,1989.25,2000.05,2006.85,2001.77
HDFC,EQ,21-Jan-19,2006.85,1998,2016,1983.2,2005,2004.45,2002.93
